text,label
"Нормально, но есть недостатки — продукт",neutral
"Скорее нормально, чем хорошо — ноутбук",neutral
"Прекрасный телефон, рекомендую",positive
никогда больше не куплю сервис,negative
Замечательный приложение,positive
"Ожидал большего, но пойдет — фильм",neutral
"скорее нормально, чем хорошо — товар",neutral
Не рекомендую этот товар!,negative
"Нормально, но есть недостатки — телефон",neutral
можно использовать приложение,neutral
"Просто идеально, приложение",positive
"Не плохо, но и не хорошо — ноутбук",neutral
Пойдет товар,neutral
Качество плохое у товар,negative
Деньги потрачены зря на магазин очень,negative
Очень хороший продукт,positive
Качество плохое у фильм,negative
стандартный сервис!,neutral
Стандартный продукт,neutral
Порадовал магазин,positive
Очень плохо работает продукт,negative
Средний товар,neutral
Крайне недоволен приложение!,negative
"Средне, без восторга — заказ! очень",neutral
Отличный выбор — товар,positive
Средний товар!,neutral
"Средне, без восторга — курс!",neutral
Я в восторге от магазин,positive
Можно использовать курс,neutral
Никогда больше не куплю курс! очень,negative
"Не плохо, но и не хорошо — фильм! очень",neutral
"все супер, приложение радует!",positive
Средний сервис!,neutral
Так себе курс!,neutral
"лучший фильм, который я видел",positive
Совсем не понравился продукт,negative
"Лучший приложение, который я видел",positive
Ужасный продукт,negative
"не лучший вариант, но сойдет — продукт",neutral
"Не лучший вариант, но сойдет — продукт",neutral
"Не лучший вариант, но сойдет — магазин",neutral
"Полный провал, магазин!",negative
"Ожидал большего, но пойдет — сервис",neutral
Совсем не понравился ноутбук,negative
"Просто идеально, сервис",positive
"Полный провал, сервис",negative
"Есть минусы, но в целом нормально — фильм",neutral
"Средне, без восторга — сервис!",neutral
"Не впечатлил, но и не разочаровал — заказ! очень",neutral
"Лучший сервис, который я видел",positive
Очень разочарован телефон,negative
Отличный выбор — приложение!,positive
Крайне недоволен приложение,negative
Не рекомендую этот телефон,negative
"Не впечатлил, но и не разочаровал — сервис",neutral
Могло быть лучше — продукт!,neutral
Я очень доволен ноутбук очень,positive
Качество плохое у магазин,negative
Крайне недоволен продукт,negative
Могло быть лучше — фильм очень,neutral
Деньги потрачены зря на продукт,negative
"Нормально, но есть недостатки — магазин",neutral
Это худший фильм,negative
Отличное качество заказ очень,positive
Никогда больше не куплю ноутбук,negative
В целом магазин норм!,neutral
ужасный приложение!,negative
Никогда больше не куплю продукт очень,negative
ужасный приложение!,negative
"без эмоций, просто ноутбук",neutral
"Полный провал, ноутбук",negative
"Просто идеально, курс",positive
Мне очень понравился магазин!,positive
"Лучший курс, который я видел!",positive
никогда больше не куплю телефон,negative
"Прекрасный приложение, рекомендую",positive
"разочарование, а не приложение",negative
"Лучший ноутбук, который я видел!",positive
"не лучший вариант, но сойдет — товар",neutral
"Не вау, но нормально — фильм!",neutral
Ничего особенного в приложение очень,neutral
"средне, без восторга — сервис",neutral
"Полный провал, заказ! очень",negative
Нормальный приложение,neutral
Стандартный приложение,neutral
"Не вау, но нормально — ноутбук",neutral
Замечательный телефон,positive
стандартный заказ,neutral
Очень хороший магазин,positive
мне очень понравился сервис,positive
Средний фильм!,neutral
Ужасный приложение,negative
Отличное качество телефон,positive
Могло быть лучше — заказ!,neutral
Отличное качество продукт!,positive
Крайне недоволен заказ!,negative
"Средне, без восторга — товар",neutral
Порадовал фильм! очень,positive
"Ожидал большего, но пойдет — магазин",neutral
Ничего особенного в магазин,neutral
"Разочарование, а не товар очень",negative
Крайне недоволен магазин,negative
Порадовал телефон,positive
Ничего особенного в приложение!,neutral
замечательный заказ!,positive
Крайне недоволен заказ!,negative
Я очень доволен магазин,positive
Мне очень понравился приложение,positive
"Разочарование, а не товар",negative
Качество плохое у фильм,negative
Деньги потрачены зря на сервис!,negative
Порадовал приложение очень,positive
Никогда больше не куплю товар,negative
Могло быть лучше — курс,neutral
"Нормально, но есть недостатки — товар",neutral
Никогда больше не куплю заказ,negative
качество плохое у магазин!,negative
Порадовал приложение очень,positive
"Нормально, но есть недостатки — сервис!",neutral
Средний приложение,neutral
"Нормально, но есть недостатки — заказ!",neutral
Не рекомендую этот сервис,negative
Очень разочарован курс!,negative
"Есть минусы, но в целом нормально — ноутбук",neutral
Пойдет заказ,neutral
Могло быть лучше — магазин,neutral
замечательный товар,positive
"Ожидал большего, но пойдет — сервис!",neutral
Ужасный курс,negative
"Просто идеально, приложение!",positive
Отличный выбор — телефон,positive
Очень плохо работает магазин,negative
"Ожидал большего, но пойдет — товар",neutral
Я очень доволен ноутбук очень,positive
"Нормально, но есть недостатки — приложение",neutral
"Ожидал большего, но пойдет — сервис",neutral
отличный выбор — заказ,positive
Порадовал товар,positive
"Не очень, но пользоваться можно — продукт очень",neutral
Очень плохо работает ноутбук,negative
Качество плохое у фильм!,negative
порадовал курс!,positive
Никогда больше не куплю сервис очень,negative
Никогда больше не куплю магазин,negative
"Нормально, но есть недостатки — курс",neutral
"Просто идеально, фильм",positive
"Есть минусы, но в целом нормально — товар",neutral
"Не лучший вариант, но сойдет — телефон!",neutral
Совсем не понравился продукт,negative
Пойдет продукт,neutral
Отличное качество курс очень,positive
Так себе заказ,neutral
"не очень, но пользоваться можно — приложение очень",neutral
"Средне, без восторга — телефон очень",neutral
Совсем не понравился приложение,negative
"Разочарование, а не фильм",negative
"Просто идеально, магазин",positive
Очень хороший курс,positive
Не рекомендую этот фильм,negative
Ужасный магазин очень,negative
Очень хороший курс,positive
"Нормально, но есть недостатки — ноутбук!",neutral
Очень плохо работает ноутбук очень,negative
Я очень доволен ноутбук,positive
"Все супер, телефон радует",positive
"Нормально, но есть недостатки — ноутбук!",neutral
Крайне недоволен продукт,negative
стандартный приложение,neutral
качество плохое у продукт! очень,negative
Я очень доволен продукт!,positive
ужасный приложение!,negative
"Разочарование, а не продукт очень",negative
Крайне недоволен товар очень,negative
"Не очень, но пользоваться можно — заказ",neutral
Мне очень понравился курс,positive
"Ожидал большего, но пойдет — ноутбук",neutral
"Полный провал, магазин!",negative
Очень хороший магазин!,positive
Отличный выбор — магазин,positive
Крайне недоволен курс!,negative
Замечательный сервис,positive
очень разочарован заказ,negative
"без эмоций, просто ноутбук",neutral
Так себе магазин,neutral
"Как и ожидалось, фильм!",neutral
Могло быть лучше — магазин,neutral
"Средне, без восторга — продукт",neutral
Средний сервис,neutral
"Средне, без восторга — курс!",neutral
Отличное качество магазин!,positive
"Не вау, но нормально — приложение!",neutral
Ужасный магазин,negative
"Не очень, но пользоваться можно — продукт",neutral
Очень хороший магазин!,positive
"Нормально, но есть недостатки — приложение",neutral
Крайне недоволен фильм,negative
"Просто идеально, ноутбук!",positive
"Есть минусы, но в целом нормально — магазин",neutral
"Все супер, продукт радует",positive
Я в восторге от фильм!,positive
Ужасный товар,negative
Обычный магазин!,neutral
Деньги потрачены зря на заказ!,negative
"Как и ожидалось, фильм",neutral
Нормальный фильм,neutral
"Без эмоций, просто сервис!",neutral
"Не очень, но пользоваться можно — фильм!",neutral
Крайне недоволен сервис!,negative
Совсем не понравился ноутбук! очень,negative
замечательный магазин!,positive
Порадовал магазин,positive
отличный выбор — ноутбук очень,positive
Я очень доволен продукт!,positive
Пойдет сервис,neutral
порадовал продукт!,positive
"Полный провал, товар!",negative
Очень плохо работает курс,negative
Я в восторге от курс,positive
"Ожидал большего, но пойдет — курс!",neutral
Крайне недоволен магазин,negative
Мне очень понравился приложение!,positive
"Прекрасный фильм, рекомендую",positive
не рекомендую этот телефон,negative
Качество плохое у ноутбук,negative
обычный приложение,neutral
Порадовал товар!,positive
Стандартный телефон,neutral
Крайне недоволен фильм,negative
Я в восторге от телефон!,positive
Очень хороший фильм очень,positive
Нормальный продукт!,neutral
"Скорее нормально, чем хорошо — магазин",neutral
Ужасный телефон,negative
"Все супер, приложение радует",positive
"Не лучший вариант, но сойдет — магазин",neutral
"Без эмоций, просто продукт",neutral
Очень разочарован курс,negative
Очень хороший товар!,positive
Крайне недоволен товар,negative
"Полный провал, сервис",negative
"Полный провал, курс!",negative
Я очень доволен товар!,positive
Деньги потрачены зря на курс!,negative
"все супер, курс радует",positive
"Средне, без восторга — фильм!",neutral
Очень плохо работает курс,negative
Я в восторге от сервис,positive
"Скорее нормально, чем хорошо — сервис",neutral
"Лучший приложение, который я видел",positive
Очень хороший продукт,positive
Очень хороший сервис,positive
Ничего особенного в приложение,neutral
Никогда больше не куплю заказ,negative
"Просто идеально, продукт очень",positive
"Есть минусы, но в целом нормально — продукт!",neutral
Отличный выбор — товар!,positive
"Прекрасный ноутбук, рекомендую",positive
"Не впечатлил, но и не разочаровал — приложение",neutral
Я очень доволен фильм,positive
Мне очень понравился курс,positive
"Разочарование, а не сервис",negative
Очень хороший курс,positive
"Разочарование, а не фильм",negative
Очень разочарован магазин,negative
"Не вау, но нормально — приложение",neutral
Совсем не понравился приложение,negative
"Все супер, магазин радует! очень",positive
Ужасный заказ! очень,negative
отличный выбор — ноутбук!,positive
Очень разочарован фильм!,negative
Можно использовать товар!,neutral
Так себе магазин!,neutral
Порадовал курс!,positive
"Просто идеально, сервис",positive
Ничего особенного в фильм! очень,neutral
Я в восторге от магазин!,positive
"Не впечатлил, но и не разочаровал — ноутбук!",neutral
Я очень доволен магазин!,positive
Очень разочарован товар,negative
Порадовал ноутбук,positive
"Нормально, но есть недостатки — товар!",neutral
"Есть минусы, но в целом нормально — ноутбук",neutral
"Все супер, приложение радует!",positive
Могло быть лучше — товар,neutral
Очень хороший фильм,positive
"Просто идеально, магазин",positive
Я в восторге от сервис,positive
"Просто идеально, сервис",positive
"Скорее нормально, чем хорошо — магазин",neutral
"Ожидал большего, но пойдет — курс",neutral
Я в восторге от курс!,positive
это худший фильм! очень,negative
"Есть минусы, но в целом нормально — продукт",neutral
В целом заказ норм,neutral
"Не вау, но нормально — ноутбук",neutral
Стандартный заказ!,neutral
Мне очень понравился сервис,positive
Не рекомендую этот заказ очень,negative
Это худший товар,negative
"Нормально, но есть недостатки — ноутбук!",neutral
Отличное качество телефон,positive
В целом магазин норм очень,neutral
"Все супер, продукт радует",positive
Не рекомендую этот фильм!,negative
Очень разочарован курс,negative
"Без эмоций, просто фильм",neutral
Мне очень понравился продукт,positive
Никогда больше не куплю товар,negative
"Просто идеально, заказ очень",positive
"Не лучший вариант, но сойдет — ноутбук!",neutral
Деньги потрачены зря на фильм!,negative
Никогда больше не куплю фильм!,negative
"Разочарование, а не ноутбук",negative
Деньги потрачены зря на товар,negative
Отличное качество заказ,positive
Я в восторге от сервис!,positive
Я очень доволен телефон!,positive
"Нормально, но есть недостатки — заказ очень",neutral
"не лучший вариант, но сойдет — магазин",neutral
"Прекрасный продукт, рекомендую",positive
"Средне, без восторга — заказ",neutral
"Не вау, но нормально — сервис",neutral
не рекомендую этот товар,negative
Не рекомендую этот фильм,negative
"Не лучший вариант, но сойдет — товар!",neutral
Ужасный сервис,negative
Я очень доволен ноутбук,positive
Ничего особенного в ноутбук,neutral
Ничего особенного в заказ,neutral
Деньги потрачены зря на товар,negative
Стандартный магазин,neutral
Я в восторге от ноутбук очень,positive
Ужасный фильм,negative
средний заказ,neutral
"лучший телефон, который я видел очень",positive
Крайне недоволен товар очень,negative
Крайне недоволен ноутбук!,negative
Качество плохое у товар!,negative
Ужасный сервис,negative
Не рекомендую этот телефон!,negative
Мне очень понравился товар,positive
Отличный выбор — телефон! очень,positive
я в восторге от товар!,positive
"Не впечатлил, но и не разочаровал — приложение",neutral
"Не лучший вариант, но сойдет — продукт",neutral
Можно использовать фильм,neutral
Можно использовать заказ,neutral
"Прекрасный сервис, рекомендую!",positive
Никогда больше не куплю продукт!,negative
"Без эмоций, просто сервис!",neutral
Отличное качество сервис,positive
Отличный выбор — продукт,positive
очень плохо работает фильм!,negative
"Лучший фильм, который я видел!",positive
"Прекрасный ноутбук, рекомендую",positive
Совсем не понравился товар,negative
"не впечатлил, но и не разочаровал — телефон",neutral
Порадовал фильм,positive
Деньги потрачены зря на товар! очень,negative
"Все супер, товар радует",positive
"Лучший телефон, который я видел",positive
Совсем не понравился сервис,negative
"Как и ожидалось, сервис!",neutral
Обычный товар,neutral
Могло быть лучше — приложение!,neutral
Нормальный телефон,neutral
Пойдет телефон,neutral
"Все супер, товар радует!",positive
Замечательный заказ,positive
В целом ноутбук норм!,neutral
В целом фильм норм,neutral
Деньги потрачены зря на ноутбук!,negative
Я очень доволен ноутбук!,positive
"Все супер, магазин радует",positive
"Лучший товар, который я видел",positive
"Лучший магазин, который я видел!",positive
Я очень доволен фильм!,positive
никогда больше не куплю магазин,negative
"Разочарование, а не курс!",negative
Я очень доволен курс,positive
Можно использовать ноутбук!,neutral
Нормальный магазин,neutral
Замечательный сервис! очень,positive
Никогда больше не куплю продукт,negative
"лучший телефон, который я видел",positive
"Скорее нормально, чем хорошо — фильм",neutral
Деньги потрачены зря на продукт!,negative
"Не очень, но пользоваться можно — заказ",neutral
Стандартный товар,neutral
Могло быть лучше — товар,neutral
Совсем не понравился товар,negative
крайне недоволен заказ,negative
Я очень доволен товар!,positive
Деньги потрачены зря на заказ,negative
Не рекомендую этот заказ!,negative
В целом фильм норм,neutral
"без эмоций, просто заказ",neutral
"Полный провал, телефон",negative
Стандартный телефон,neutral
Отличное качество продукт!,positive
Очень разочарован магазин!,negative
Можно использовать сервис,neutral
"Скорее нормально, чем хорошо — ноутбук",neutral
Пойдет приложение,neutral
"Все супер, курс радует!",positive
"лучший товар, который я видел",positive
Деньги потрачены зря на приложение,negative
Обычный телефон!,neutral
"лучший заказ, который я видел!",positive
Нормальный ноутбук,neutral
Деньги потрачены зря на курс,negative
пойдет продукт! очень,neutral
"Все супер, заказ радует!",positive
Обычный фильм!,neutral
"не очень, но пользоваться можно — заказ!",neutral
мне очень понравился приложение!,positive
Очень хороший ноутбук!,positive
деньги потрачены зря на фильм!,negative
Деньги потрачены зря на курс очень,negative
"без эмоций, просто телефон!",neutral
"Все супер, телефон радует",positive
замечательный товар,positive
"Все супер, заказ радует",positive
Качество плохое у приложение,negative
Могло быть лучше — ноутбук!,neutral
"Есть минусы, но в целом нормально — товар!",neutral
"Скорее нормально, чем хорошо — магазин",neutral
Можно использовать телефон,neutral
"Просто идеально, курс!",positive
Очень хороший фильм,positive
"Не вау, но нормально — приложение",neutral
"Прекрасный продукт, рекомендую",positive
Отличное качество товар,positive
Стандартный товар!,neutral
"Скорее нормально, чем хорошо — магазин!",neutral
"Не лучший вариант, но сойдет — сервис",neutral
очень разочарован заказ очень,negative
"Разочарование, а не ноутбук",negative
"Прекрасный фильм, рекомендую",positive
я очень доволен сервис!,positive
"Разочарование, а не приложение!",negative
Очень плохо работает курс,negative
Я в восторге от товар!,positive
"просто идеально, заказ! очень",positive
Порадовал продукт!,positive
"Разочарование, а не сервис!",negative
Это худший курс,negative
"все супер, телефон радует",positive
Отличный выбор — приложение,positive
"Не плохо, но и не хорошо — ноутбук",neutral
Я в восторге от товар! очень,positive
"Полный провал, ноутбук!",negative
Никогда больше не куплю товар,negative
Это худший заказ,negative
Ужасный продукт,negative
Совсем не понравился сервис,negative
Деньги потрачены зря на заказ,negative
"Как и ожидалось, магазин!",neutral
Очень плохо работает курс,negative
"не вау, но нормально — магазин",neutral
Стандартный курс!,neutral
Качество плохое у ноутбук,negative
"не впечатлил, но и не разочаровал — курс!",neutral
Совсем не понравился фильм,negative
Совсем не понравился приложение,negative
"Полный провал, сервис",negative
Деньги потрачены зря на заказ,negative
"Не очень, но пользоваться можно — магазин",neutral
Стандартный сервис,neutral
мне очень понравился курс,positive
"Не очень, но пользоваться можно — магазин!",neutral
Очень плохо работает ноутбук!,negative
Совсем не понравился продукт,negative
"Нормально, но есть недостатки — сервис",neutral
деньги потрачены зря на ноутбук!,negative
Обычный товар!,neutral
В целом сервис норм,neutral
"Не очень, но пользоваться можно — курс",neutral
это худший ноутбук!,negative
"Не впечатлил, но и не разочаровал — продукт",neutral
"есть минусы, но в целом нормально — курс",neutral
Я в восторге от телефон!,positive
Средний сервис,neutral
"Средне, без восторга — приложение",neutral
совсем не понравился фильм!,negative
Отличное качество заказ!,positive
"Без эмоций, просто заказ!",neutral
Крайне недоволен телефон,negative
Это худший сервис,negative
Никогда больше не куплю магазин,negative
Отличное качество курс,positive
мне очень понравился фильм!,positive
Отличный выбор — телефон,positive
Я очень доволен фильм,positive
"Средне, без восторга — магазин",neutral
"Без эмоций, просто товар",neutral
Очень разочарован ноутбук,negative
отличное качество заказ,positive
Порадовал ноутбук! очень,positive
"Средне, без восторга — ноутбук",neutral
Очень хороший магазин!,positive
"Не лучший вариант, но сойдет — телефон",neutral
Мне очень понравился телефон,positive
Ничего особенного в ноутбук!,neutral
Порадовал сервис очень,positive
Отличный выбор — товар!,positive
Пойдет магазин,neutral
Я очень доволен фильм,positive
Качество плохое у телефон,negative
"Разочарование, а не заказ",negative
качество плохое у товар,negative
"есть минусы, но в целом нормально — заказ",neutral
Порадовал курс,positive
"Как и ожидалось, товар!",neutral
Очень плохо работает курс!,negative
"Разочарование, а не сервис!",negative
Очень плохо работает сервис!,negative
"Разочарование, а не фильм",negative
"Разочарование, а не курс",negative
"Все супер, продукт радует",positive
Стандартный заказ,neutral
"Просто идеально, курс",positive
деньги потрачены зря на фильм очень,negative
нормальный сервис,neutral
Отличное качество товар!,positive
"Ожидал большего, но пойдет — приложение",neutral
Я очень доволен ноутбук,positive
Крайне недоволен заказ,negative
"ожидал большего, но пойдет — товар",neutral
Отличный выбор — телефон!,positive
"Не плохо, но и не хорошо — фильм",neutral
Очень хороший заказ!,positive
Замечательный сервис,positive
Это худший фильм,negative
"Не вау, но нормально — приложение",neutral
"не лучший вариант, но сойдет — сервис",neutral
Я очень доволен приложение!,positive
Замечательный заказ!,positive
"Нормально, но есть недостатки — заказ",neutral
Я очень доволен ноутбук очень,positive
Можно использовать фильм,neutral
"Ожидал большего, но пойдет — телефон!",neutral
ужасный фильм!,negative
Пойдет фильм,neutral
Обычный ноутбук,neutral
"Не очень, но пользоваться можно — магазин!",neutral
Нормальный сервис,neutral
"Полный провал, сервис",negative
"Прекрасный курс, рекомендую!",positive
очень хороший ноутбук очень,positive
"Разочарование, а не телефон",negative
"Прекрасный магазин, рекомендую",positive
Стандартный магазин,neutral
"Разочарование, а не ноутбук!",negative
"Не впечатлил, но и не разочаровал — сервис",neutral
"Не впечатлил, но и не разочаровал — телефон!",neutral
"разочарование, а не магазин",negative
"Не лучший вариант, но сойдет — сервис",neutral
Порадовал ноутбук,positive
"Полный провал, магазин",negative
"Разочарование, а не ноутбук",negative
Пойдет приложение,neutral
"Прекрасный продукт, рекомендую",positive
"Не вау, но нормально — товар",neutral
"Нормально, но есть недостатки — заказ",neutral
Очень плохо работает телефон,negative
"Скорее нормально, чем хорошо — заказ очень",neutral
Не рекомендую этот магазин!,negative
мне очень понравился товар!,positive
Это худший товар,negative
"Как и ожидалось, телефон",neutral
Никогда больше не куплю товар! очень,negative
Замечательный фильм,positive
Обычный продукт,neutral
"Не лучший вариант, но сойдет — ноутбук",neutral
Я в восторге от продукт,positive
"Прекрасный заказ, рекомендую",positive
"Не очень, но пользоваться можно — магазин",neutral
"Как и ожидалось, магазин!",neutral
Так себе телефон!,neutral
Отличное качество курс!,positive
Крайне недоволен телефон!,negative
Крайне недоволен ноутбук,negative
порадовал магазин,positive
"Скорее нормально, чем хорошо — курс",neutral
Замечательный курс!,positive
Могло быть лучше — фильм!,neutral
Порадовал сервис,positive
"Нормально, но есть недостатки — продукт! очень",neutral
Никогда больше не куплю приложение очень,negative
Можно использовать магазин! очень,neutral
"Прекрасный заказ, рекомендую",positive
Так себе телефон,neutral
Пойдет приложение!,neutral
Отличное качество приложение,positive
"Прекрасный продукт, рекомендую",positive
я очень доволен фильм,positive
"Ожидал большего, но пойдет — телефон",neutral
Это худший приложение!,negative
"Лучший магазин, который я видел",positive
Не рекомендую этот сервис!,negative
"Ожидал большего, но пойдет — ноутбук",neutral
"не лучший вариант, но сойдет — заказ!",neutral
Крайне недоволен ноутбук очень,negative
Не рекомендую этот магазин,negative
"Ожидал большего, но пойдет — сервис очень",neutral
пойдет продукт очень,neutral
"Без эмоций, просто курс!",neutral
Стандартный товар,neutral
Деньги потрачены зря на курс,negative
"Не лучший вариант, но сойдет — сервис!",neutral
"Скорее нормально, чем хорошо — магазин",neutral
Очень разочарован продукт,negative
Средний магазин!,neutral
"Просто идеально, приложение",positive
"все супер, телефон радует очень",positive
Очень разочарован фильм!,negative
Могло быть лучше — магазин очень,neutral
Отличный выбор — курс,positive
"Лучший продукт, который я видел",positive
Замечательный продукт,positive
Никогда больше не куплю приложение,negative
Совсем не понравился магазин!,negative
"Не вау, но нормально — телефон очень",neutral
Отличный выбор — магазин,positive
Деньги потрачены зря на ноутбук,negative
Я в восторге от продукт,positive
Обычный телефон,neutral
В целом магазин норм,neutral
"Не вау, но нормально — телефон",neutral
Отличное качество заказ,positive
Очень хороший приложение!,positive
Можно использовать телефон,neutral
Могло быть лучше — продукт!,neutral
"Все супер, ноутбук радует",positive
Очень хороший заказ,positive
"Все супер, приложение радует",positive
"Не плохо, но и не хорошо — курс!",neutral
Отличное качество товар,positive
Отличное качество продукт,positive
Не рекомендую этот сервис,negative
качество плохое у заказ!,negative
отличное качество сервис,positive
Я очень доволен ноутбук!,positive
"Разочарование, а не приложение!",negative
Отличный выбор — сервис!,positive
Обычный магазин,neutral
Очень плохо работает приложение! очень,negative
"Просто идеально, фильм очень",positive
можно использовать курс,neutral
"Лучший товар, который я видел",positive
отличный выбор — телефон,positive
"Прекрасный фильм, рекомендую!",positive
я в восторге от магазин!,positive
"Не впечатлил, но и не разочаровал — приложение!",neutral
Я в восторге от приложение,positive
"Как и ожидалось, фильм",neutral
"Средне, без восторга — фильм!",neutral
Не рекомендую этот продукт,negative
Мне очень понравился товар,positive
Никогда больше не куплю заказ очень,negative
"Как и ожидалось, фильм",neutral
"Не очень, но пользоваться можно — магазин",neutral
"все супер, продукт радует!",positive
Порадовал телефон!,positive
Порадовал фильм,positive
"Полный провал, заказ",negative
Совсем не понравился магазин,negative
Очень плохо работает курс,negative
"Полный провал, продукт!",negative
Очень хороший фильм,positive
Нормальный продукт,neutral
"Разочарование, а не продукт",negative
я в восторге от ноутбук,positive
"Все супер, заказ радует",positive
Пойдет продукт!,neutral
Пойдет заказ,neutral
Так себе курс очень,neutral
отличное качество фильм,positive
"Есть минусы, но в целом нормально — товар",neutral
"Просто идеально, сервис!",positive
Отличное качество магазин! очень,positive
Так себе заказ,neutral
Очень хороший сервис!,positive
Отличный выбор — магазин,positive
"Не вау, но нормально — магазин",neutral
Очень разочарован телефон,negative
Качество плохое у продукт!,negative
Мне очень понравился продукт,positive
"Лучший фильм, который я видел! очень",positive
ничего особенного в сервис,neutral
Я очень доволен фильм,positive
Ужасный заказ,negative
Отличный выбор — телефон! очень,positive
"Не лучший вариант, но сойдет — курс!",neutral
"Не лучший вариант, но сойдет — фильм",neutral
"прекрасный товар, рекомендую",positive
Я очень доволен магазин!,positive
"Не плохо, но и не хорошо — фильм",neutral
В целом продукт норм,neutral
Ничего особенного в курс,neutral
Крайне недоволен курс,negative
В целом заказ норм,neutral
Средний телефон!,neutral
"Ожидал большего, но пойдет — курс",neutral
Порадовал сервис!,positive
Обычный заказ!,neutral
Очень разочарован магазин!,negative
"Просто идеально, сервис",positive
"Нормально, но есть недостатки — фильм",neutral
Деньги потрачены зря на сервис,negative
"Не очень, но пользоваться можно — ноутбук",neutral
Это худший сервис! очень,negative
"Не впечатлил, но и не разочаровал — фильм",neutral
"не очень, но пользоваться можно — приложение",neutral
"Не впечатлил, но и не разочаровал — курс!",neutral
Я в восторге от ноутбук,positive
Средний курс,neutral
"лучший ноутбук, который я видел!",positive
Совсем не понравился фильм очень,negative
Пойдет товар,neutral
Мне очень понравился товар,positive
"прекрасный ноутбук, рекомендую",positive
"Лучший товар, который я видел",positive
Мне очень понравился товар,positive
"Разочарование, а не фильм",negative
качество плохое у ноутбук!,negative
Очень плохо работает приложение,negative
"Не лучший вариант, но сойдет — заказ очень",neutral
"Лучший фильм, который я видел!",positive
"как и ожидалось, заказ",neutral
Очень разочарован сервис,negative
Замечательный магазин очень,positive
"Не лучший вариант, но сойдет — магазин",neutral
Никогда больше не куплю заказ!,negative
совсем не понравился курс,negative
"разочарование, а не курс очень",negative
Порадовал курс!,positive
Обычный ноутбук,neutral
Порадовал товар,positive
Замечательный товар очень,positive
Совсем не понравился курс,negative
Отличное качество заказ!,positive
Я в восторге от телефон!,positive
отличное качество заказ,positive
никогда больше не куплю ноутбук,negative
"Разочарование, а не фильм",negative
Не рекомендую этот фильм,negative
"Не лучший вариант, но сойдет — фильм",neutral
"нормально, но есть недостатки — магазин!",neutral
Очень разочарован ноутбук,negative
Это худший ноутбук!,negative
"Нормально, но есть недостатки — приложение",neutral
"Просто идеально, фильм",positive
Никогда больше не куплю фильм,negative
Очень плохо работает магазин,negative
Нормальный товар,neutral
"Как и ожидалось, продукт",neutral
"не очень, но пользоваться можно — сервис",neutral
"Скорее нормально, чем хорошо — приложение",neutral
Никогда больше не куплю приложение,negative
"Скорее нормально, чем хорошо — курс",neutral
Это худший телефон очень,negative
Качество плохое у магазин,negative
"Полный провал, заказ",negative
"Не впечатлил, но и не разочаровал — приложение",neutral
ужасный приложение!,negative
Ничего особенного в сервис,neutral
"Все супер, фильм радует очень",positive
Крайне недоволен сервис!,negative
"Ожидал большего, но пойдет — ноутбук",neutral
Это худший курс!,negative
я в восторге от телефон,positive
Не рекомендую этот фильм,negative
"Нормально, но есть недостатки — заказ!",neutral
"без эмоций, просто заказ!",neutral
Деньги потрачены зря на сервис,negative
крайне недоволен сервис,negative
Очень хороший заказ,positive
Очень хороший магазин очень,positive
"Есть минусы, но в целом нормально — продукт",neutral
Я в восторге от продукт,positive
"Не впечатлил, но и не разочаровал — товар",neutral
Мне очень понравился приложение,positive
"Ожидал большего, но пойдет — фильм",neutral
не рекомендую этот заказ,negative
Качество плохое у телефон!,negative
Порадовал заказ очень,positive
Деньги потрачены зря на приложение,negative
замечательный фильм!,positive
"Ожидал большего, но пойдет — заказ!",neutral
крайне недоволен товар,negative
Это худший фильм,negative
мне очень понравился телефон!,positive
"Просто идеально, сервис очень",positive
мне очень понравился телефон!,positive
мне очень понравился товар очень,positive
Отличный выбор — сервис,positive
"Средне, без восторга — магазин!",neutral
"Прекрасный магазин, рекомендую",positive
"Без эмоций, просто телефон",neutral
Можно использовать приложение!,neutral
Ничего особенного в продукт,neutral
"разочарование, а не фильм",negative
"Лучший фильм, который я видел",positive
Отличное качество продукт очень,positive
"Прекрасный телефон, рекомендую",positive
"Все супер, приложение радует",positive
Крайне недоволен товар очень,negative
"Средне, без восторга — заказ",neutral
"прекрасный товар, рекомендую",positive
Ужасный телефон,negative
Очень хороший курс,positive
Могло быть лучше — магазин,neutral
Так себе фильм,neutral
Могло быть лучше — товар!,neutral
Очень плохо работает приложение,negative
Совсем не понравился заказ,negative
Качество плохое у приложение!,negative
"Не впечатлил, но и не разочаровал — курс",neutral
Совсем не понравился заказ!,negative
Ужасный продукт!,negative
"Полный провал, товар",negative
"Не плохо, но и не хорошо — магазин",neutral
"Лучший магазин, который я видел",positive
Деньги потрачены зря на товар,negative
Отличный выбор — приложение,positive
"Не впечатлил, но и не разочаровал — магазин",neutral
это худший продукт,negative
Деньги потрачены зря на ноутбук! очень,negative
"Скорее нормально, чем хорошо — продукт",neutral
Это худший ноутбук!,negative
"Просто идеально, ноутбук",positive
Нормальный фильм,neutral
"Все супер, сервис радует",positive
пойдет фильм,neutral
Я в восторге от курс,positive
Порадовал товар очень,positive
Я в восторге от товар,positive
Обычный продукт,neutral
В целом товар норм,neutral
"Средне, без восторга — приложение",neutral
"Нормально, но есть недостатки — курс",neutral
Ужасный телефон,negative
"Не впечатлил, но и не разочаровал — телефон",neutral
Ужасный продукт,negative
